rank,name,login,contributions,company,organizations
179,Ramaguru Radhakrishnan,ramagururadhakrishnan,976,"Asst. Professor (Sr. Gr.)  at Amrita Vishwa Vidyapeetham, Researcher at நம்Chain®Open Initiative Research Lab","Kanavu-Public-Charitable-Trust,AksharamTrainingAcademy,GuruAnalytics,NamChain-Open-Initiative-Research-Lab,Kuppai-Innovative-Research-Lab,Amrita-TIFAC-Cyber-Blockchain,Kumaraguru-College-of-Tech,Gandhimani-Numismatics-Philately-Club,Tamil-Valar-Mandram,B-RIG,KOLECT-Amrita,WiCyS-Amrita,CybeReach,Ramaguru-Forks,SanJoseMHSS,re-bin-d-22ucys,HICSS-Amrita,Nool-Amudham,amrita-tifac-cys-mtech,amrita-tifac-cys-btech"
180,Arijit Basu,sayanarijit,960,,"NixOS,stckme,ratatui"
181,Puneeth Chaganti,punchagan,957,@tarides,"FOSSEE,recursecenter,zulip,getnikola,org2blog,tarides,thatte-idli-kaal-soup,india-ultimate"
182,Ujaval Gandhi,spatialthoughts,953,,
183,Abhinav Tushar,lepisma,930,,"unique-horn,FluSightNetwork"
184,Aniket,Aniket-Engg,930,@ethereum ,
185,Ben S George,AlbertEinsteinTG,921,@CrazyBotsz ,CrazyBotsz
186,Anmol Verma,oianmol,917,,
187,Aakash Kumar Nain,AakashKumarNain,905,,tensorflow
188,Yusuf Shakeel,yusufshakeel,895,Thoughtworks,
189,Nitish Kumar,nitishfy,893,@akuity,"kubernetes,campus-experts,argoproj,kubernetes-sigs,akuity,akuityio"
190,Gaurav Sen,coding-parrot,879,InterviewReady,
191,Nakshatra Goel,Nakshatra05,879,,"Wellness-Center-IIT-Roorkee,Encode-Club-Solidity-Bootcamp,OctoTechHub,Anoto-ecossistem,Whizzify"
192,Yashovardhan Agrawal,yashovardhan,873,@web3auth,"coala,MetaMask,TheAlgorithms,campus-experts,LNMHacks,addy-org,JBossOutreach,OpenSouce-LNMIIT,yogdaan,hackferenceindia,torusresearch,devrelpage,tkey,Web3Auth"
193,Shivam,ShivamJoker,869,LearnAWS.io,RealDevExp
194,Gursimar Singh,gursimarsm,866,,
195,Apurba Adhikary⚡,itsApurba,863,,digitalinfolink
